,發電站經度,發電站緯度,觀測站,觀測站經度,觀測站緯度
淡水3.5萬噸配水池光電站,121.45,25.18,淡水,121.45,25.16
大潭電廠光電站,121.06,25.03,新屋,121.05,25.01
大潭電廠GIS廠房光電站,121.06,25.03,新屋,121.05,25.01
北部儲運中心光電站,121.26,24.9,大溪,121.27,24.88
中大D/S光電站,121.2,24.97,中壢,121.26,24.98
平鎮淨水場光電站,121.2,24.9,平鎮,121.21,24.9
大湳淨水場光電站,121.29,24.96,八德,121.28,24.93
龜山第三加壓站光電站,121.36,25.05,國一N039K,121.38,25.06
龍潭淨水場光電站,121.24,24.84,龍潭,121.22,24.87
龍潭E/S光電站,121.09,24.89,湖口,121.04,24.9
竹工E/S光電站,121.2,24.81,關西,121.17,24.8
卓蘭會館光電站,120.82,24.3,卓蘭,120.82,24.31
東興淨水場光電站,120.92,24.67,頭份,120.91,24.69
后里E/S光電站,120.74,24.31,后里,120.73,24.31
中部儲運中心光電站,120.73,24.32,后里,120.73,24.31
東勢新伯公光電站,120.84,24.22,新伯公,120.84,24.22
台中電廠光電站,120.49,24.22,臺中電廠,120.49,24.21
台中龍井光電站,120.5,24.23,臺中電廠,120.49,24.21
中科E/S光電站,120.61,24.2,大雅(中科園區),120.62,24.22
彰化彰濱光電站,120.42,24.11,鹿港,120.43,24.08
彰林E/S光電站,120.46,23.93,溪湖,120.48,23.95
南投大彎光電站,120.86,23.81,水里,120.85,23.81
嘉義民雄光電站,120.46,23.52,嘉義,120.43,23.5
義竹工作站光電站,120.27,23.37,東後寮,120.25,23.37
台南鹽田光電站,120.11,23.18,鯤鯓國小,120.09,23.19
台南七股光電站,120.14,23.1,安南,120.14,23.08
台南七股II光電站,120.14,23.1,安南,120.14,23.08
興達電廠光電站,120.2,22.86,興達,120.21,22.88
永安鹽灘地光電站,120.21,22.84,永安,120.24,22.82
高雄保寧光電站,120.24,22.83,永安,120.24,22.82
路北E/S光電站,120.25,22.84,永安,120.24,22.82
燕巢倉庫光電站,120.39,22.77,國三S383K,120.43,22.78
高雄E/S光電站,120.29,22.65,三民,120.31,22.65
高雄E/S停車棚光電站,120.29,22.65,三民,120.31,22.65
鳳山水庫光電站,120.39,22.55,鳳森,120.39,22.55
核三廠光電站,120.75,21.97,後壁湖,120.75,21.95
澎湖七美光電站,119.43,23.21,花嶼,119.32,23.4
澎湖尖山光電站,119.66,23.57,澎湖,119.56,23.57
蘭嶼電廠光電站,121.54,22.03,蘭嶼,121.56,22.04
蘭嶼貯存場光電站,121.56,22.03,蘭嶼,121.56,22.04
金門金沙光電站,118.4,24.5,金沙,118.41,24.49
金門塔山光電站,118.32,24.43,金寧,118.33,24.46
金門鵲山光電站,118.43,24.44,金沙,118.41,24.49
馬祖珠山光電站,119.94,26.15,馬祖,119.92,26.17
