,Station,Addr,Lng,Lat
0,淡水3.5萬噸配水池光電站,新北市淡水區淡金路一段497號,121.4542327,25.1783385
1,大潭電廠光電站,桃園市觀音區大潭里電廠路1號,121.0593087,25.0298937
2,大潭電廠GIS廠房光電站,桃園市觀音區大潭里電廠路1號,121.0593087,25.0298937
3,北部儲運中心光電站,桃園市觀音區快速路​九段2208號,121.257462,24.8983014
4,中大D/S光電站,桃園市中壢區三民里中正路1312號,121.200576,24.9719389
5,平鎮淨水場光電站,桃園市平鎮區南豐路267號,121.2012143,24.8997978
6,大湳淨水場光電站,桃園市桃園區國際路1段485巷101號,121.2929621,24.9601626
7,龜山第三加壓站光電站,桃園市龜山區忠義路2段366號,121.3593384,25.0491447
8,龍潭淨水場光電站,桃園市龍潭區文化路209號,121.2415884,24.8444287
9,龍潭E/S光電站,新竹縣湖口鄉八德路三段135巷30號,121.0931278,24.8905075
10,竹工E/S光電站,新竹縣關西鎮仁安里台電新村66之3號,121.2003844,24.810763
11,卓蘭會館光電站,苗栗縣卓蘭鎮新厝里1鄰新厝5-2號,120.8240513,24.3049509
12,東興淨水場光電站,苗栗縣頭份市水源路417巷14號,120.920114,24.6698221
13,后里E/S光電站,台中市后里區仁里里永興路17-50號,120.7359604,24.3149345
14,中部儲運中心光電站,台中市后里區后里里九甲七路8號,120.7255171,24.3237999
15,東勢新伯公光電站,台中市東勢區新城街288巷10號,120.8411183,24.2159689
16,台中電廠光電站,台中市龍井區麗水里龍昌路1號,120.4854553,24.2171961
17,台中龍井光電站,台中市龍井區麗水里,120.4962417,24.2280664
18,中科E/S光電站,台中市西屯區科園一路1號,120.6071347,24.2016583
19,彰化彰濱光電站,彰化縣鹿港鎮山崙里21鄰崙工路53號,120.4184782,24.1086004
20,彰林E/S光電站,彰化縣埤頭鄉豐崙村沙崙路917號,120.455217,23.9287122
21,南投大彎光電站,南投縣水里鄉社子段0001-0002地號,120.856769,23.806008
22,嘉義民雄光電站,嘉義縣民雄鄉北斗村中華路88號,120.4562745,23.5248558
23,義竹工作站光電站,嘉義縣義竹鄉中平村,120.2729063,23.3665672
24,台南鹽田光電站,台南市將軍區鯤溟里、七股區頂山里,120.1110004,23.1822433
25,台南七股光電站,台南市七股區義合里,120.1387218,23.1035949
26,台南七股II光電站,台南市七股區義合里,120.1387218,23.1035949
27,興達電廠光電站,高雄市永安區鹽田里興達路6號,120.2005524,22.8589406
28,永安鹽灘地光電站,高雄市永安區鹽田里,120.2108809,22.8441274
29,高雄保寧光電站,高雄市永安區保寧里,120.2368486,22.8306619
30,路北E/S光電站,高雄市路竹區後鄉里10鄰路科九路13號,120.248115,22.8376103
31,燕巢倉庫光電站,高雄市燕巢區深水里臥牛巷5號,120.3860691,22.7748283
32,高雄E/S光電站,高雄市三民區安邦里十全二路320號,120.2926437,22.6465222
33,高雄E/S停車棚光電站,高雄市三民區安邦里十全二路320號,120.2926437,22.6465222
34,鳳山水庫光電站,高雄市小港區坪頂里,120.3867834,22.5472523
35,核三廠光電站,屏東縣恆春鎮南灣里南灣路387號,120.7539512,21.9656605
36,澎湖七美光電站,澎湖縣七美鄉中和村,119.4338932,23.2050231
37,澎湖尖山光電站,澎湖縣湖西鄉尖山村29號之2,119.6644027,23.5686805
38,蘭嶼電廠光電站,台東縣蘭嶼鄉紅頭村漁人145號,121.5400065,22.0260216
39,蘭嶼貯存場光電站,台東縣蘭嶼鄉紅頭村1號,121.5569805,22.0284418
40,金門金沙光電站,金門縣金沙鎮金門文化園區內,118.4022951,24.4984371
41,金門塔山光電站,金門縣金城鎮西海路一段2號,118.3155101,24.4320647
42,金門鵲山光電站,金門縣金湖鎮陽明16號,118.4279933,24.4376913
43,馬祖珠山光電站,連江縣南竿鄉清水村99-9號,119.9379151,26.1477771
